item_id,instructions,context,question,option_1,option_2,option_3,option_4,option_5,prompt_text,prompt_sha256
J003165,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","Exactly one of five components, Sora, Dion, Ava, Jia and Faye, is faulty. All other components work. Each probe has the complete deterministic behaviour stated below. A probe glows only for the listed faulty components; otherwise it stays dark. All observations are reliable.

Probe 1: it glows when the faulty component is Sora or Ava. Observed result: dark.
Probe 2: it glows when the faulty component is Dion, Jia or Faye. Observed result: glowing.
Probe 3: it glows when the faulty component is Dion or Faye. Observed result: glowing.
Probe 4: it glows when the faulty component is Sora, Ava or Faye. Observed result: glowing.
Probe 5: it glows when the faulty component is Sora, Dion or Faye. Observed result: glowing.",Which component is faulty?,Sora,Jia,Faye,Ava,Dion,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

Exactly one of five components, Sora, Dion, Ava, Jia and Faye, is faulty. All other components work. Each probe has the complete deterministic behaviour stated below. A probe glows only for the listed faulty components; otherwise it stays dark. All observations are reliable.

Probe 1: it glows when the faulty component is Sora or Ava. Observed result: dark.
Probe 2: it glows when the faulty component is Dion, Jia or Faye. Observed result: glowing.
Probe 3: it glows when the faulty component is Dion or Faye. Observed result: glowing.
Probe 4: it glows when the faulty component is Sora, Ava or Faye. Observed result: glowing.
Probe 5: it glows when the faulty component is Sora, Dion or Faye. Observed result: glowing.

Which component is faulty?

1. Sora
2. Jia
3. Faye
4. Ava
5. Dion",d67e30c238bf69a3efc5cab98ee3611a02ebb6e61306e12d6cda542ae993c315
J002638,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","A visitor starts at Cedar. All available passages are listed; each is one-way in the stated direction. The closed locations are Spruce. Entering a closed location is forbidden. Any number of permitted passages may be used, and revisiting a location is allowed.

A one-way passage goes from Cedar to Maple.
A one-way passage goes from Maple to Fern.
A one-way passage goes from Fern to Birch.
A one-way passage goes from Cedar to Spruce.
A one-way passage goes from Spruce to Grove.
A one-way passage goes from Grove to Cedar.
A one-way passage goes from Spruce to Oak.
A one-way passage goes from Oak to Cedar.
A one-way passage goes from Spruce to Juniper.
A one-way passage goes from Juniper to Cedar.
A one-way passage goes from Spruce to Willow.
A one-way passage goes from Willow to Cedar.
A one-way passage goes from Fern to Cedar.",Which of the listed destinations can the visitor reach?,Grove,Oak,Birch,Juniper,Willow,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

A visitor starts at Cedar. All available passages are listed; each is one-way in the stated direction. The closed locations are Spruce. Entering a closed location is forbidden. Any number of permitted passages may be used, and revisiting a location is allowed.

A one-way passage goes from Cedar to Maple.
A one-way passage goes from Maple to Fern.
A one-way passage goes from Fern to Birch.
A one-way passage goes from Cedar to Spruce.
A one-way passage goes from Spruce to Grove.
A one-way passage goes from Grove to Cedar.
A one-way passage goes from Spruce to Oak.
A one-way passage goes from Oak to Cedar.
A one-way passage goes from Spruce to Juniper.
A one-way passage goes from Juniper to Cedar.
A one-way passage goes from Spruce to Willow.
A one-way passage goes from Willow to Cedar.
A one-way passage goes from Fern to Cedar.

Which of the listed destinations can the visitor reach?

1. Grove
2. Oak
3. Birch
4. Juniper
5. Willow",5e4ddd109f98ab6fb1bea74509f9aaac890457dc7f5d8dee542bd74d067a776a
J002576,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","A visitor starts at Fern. All available passages are listed; each is one-way in the stated direction. The closed locations are Laurel. Entering a closed location is forbidden. Any number of permitted passages may be used, and revisiting a location is allowed.

A one-way passage goes from Fern to Willow.
A one-way passage goes from Fern to Laurel.
A one-way passage goes from Laurel to Rowan.
A one-way passage goes from Rowan to Fern.
A one-way passage goes from Laurel to Reed.
A one-way passage goes from Reed to Fern.
A one-way passage goes from Laurel to Elm.
A one-way passage goes from Elm to Fern.
A one-way passage goes from Laurel to Iris.
A one-way passage goes from Iris to Fern.",Which of the listed destinations can the visitor reach?,Willow,Elm,Reed,Rowan,Iris,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

A visitor starts at Fern. All available passages are listed; each is one-way in the stated direction. The closed locations are Laurel. Entering a closed location is forbidden. Any number of permitted passages may be used, and revisiting a location is allowed.

A one-way passage goes from Fern to Willow.
A one-way passage goes from Fern to Laurel.
A one-way passage goes from Laurel to Rowan.
A one-way passage goes from Rowan to Fern.
A one-way passage goes from Laurel to Reed.
A one-way passage goes from Reed to Fern.
A one-way passage goes from Laurel to Elm.
A one-way passage goes from Elm to Fern.
A one-way passage goes from Laurel to Iris.
A one-way passage goes from Iris to Fern.

Which of the listed destinations can the visitor reach?

1. Willow
2. Elm
3. Reed
4. Rowan
5. Iris",e68ee9955c7e396ddc02bca2bdf8f7b79910be7809dc95b3eb1a43eade8d89c7
J002762,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","Choose one fictional venue using the stated priorities in order. At the first criterion where two venues differ, prefer the better value; later criteria matter only for ties. There are no other preferences or hidden costs. Priority 1 is noise: prefer quiet, then moderate, then loud. Priority 2 is walking distance: prefer short, then medium, then long. Priority 3 is fee: prefer low, then medium, then high.

Maple: noise moderate; walking distance medium; fee low; waiting time short.
Rowan: noise moderate; walking distance long; fee low; waiting time long.
Fern: noise loud; walking distance short; fee medium; waiting time short.
Spruce: noise moderate; walking distance medium; fee medium; waiting time short.
Laurel: noise loud; walking distance short; fee high; waiting time short.",Which venue is selected by these priorities?,Rowan,Fern,Laurel,Maple,Spruce,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

Choose one fictional venue using the stated priorities in order. At the first criterion where two venues differ, prefer the better value; later criteria matter only for ties. There are no other preferences or hidden costs. Priority 1 is noise: prefer quiet, then moderate, then loud. Priority 2 is walking distance: prefer short, then medium, then long. Priority 3 is fee: prefer low, then medium, then high.

Maple: noise moderate; walking distance medium; fee low; waiting time short.
Rowan: noise moderate; walking distance long; fee low; waiting time long.
Fern: noise loud; walking distance short; fee medium; waiting time short.
Spruce: noise moderate; walking distance medium; fee medium; waiting time short.
Laurel: noise loud; walking distance short; fee high; waiting time short.

Which venue is selected by these priorities?

1. Rowan
2. Fern
3. Laurel
4. Maple
5. Spruce",afc0fc38d94b5b2a049501922eb55cc6884ca643aee1e1adbb2e1314ba07cf37
J001161,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","A prize is in exactly one of five chests: Hazel, Pine, Cedar, Oak and Laurel. Exactly three of the numbered inscriptions below are true.

Inscription 1: The prize is not in the Pine chest.
Inscription 2: The prize is in neither the Pine chest nor the Cedar chest.
Inscription 3: The prize is in the Laurel chest.
Inscription 4: The prize is in the Hazel chest or the Pine chest.
Inscription 5: The prize is in neither the Cedar chest nor the Laurel chest.
Inscription 6: The prize is in neither the Hazel chest nor the Pine chest.
Inscription 7: The prize is in neither the Hazel chest nor the Oak chest.
Inscription 8: The prize is not in the Cedar chest.",Which chest contains the prize?,Oak chest,Cedar chest,Laurel chest,Hazel chest,Pine chest,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

A prize is in exactly one of five chests: Hazel, Pine, Cedar, Oak and Laurel. Exactly three of the numbered inscriptions below are true.

Inscription 1: The prize is not in the Pine chest.
Inscription 2: The prize is in neither the Pine chest nor the Cedar chest.
Inscription 3: The prize is in the Laurel chest.
Inscription 4: The prize is in the Hazel chest or the Pine chest.
Inscription 5: The prize is in neither the Cedar chest nor the Laurel chest.
Inscription 6: The prize is in neither the Hazel chest nor the Pine chest.
Inscription 7: The prize is in neither the Hazel chest nor the Oak chest.
Inscription 8: The prize is not in the Cedar chest.

Which chest contains the prize?

1. Oak chest
2. Cedar chest
3. Laurel chest
4. Hazel chest
5. Pine chest",96cce6067b8cff05ddeb1acf6dab3415b1528f7a58a2cb1587bbba625785edc7
J000698,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","The five sculptures Jia, Gus, Faye, Pia and Wren have different heights. All comparisons below are true.

Jia is taller than Pia.
Jia is taller than Wren.
Pia is taller than Faye.
Faye is taller than Gus.",Which sculpture is tallest?,Faye,Pia,Jia,Wren,Gus,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

The five sculptures Jia, Gus, Faye, Pia and Wren have different heights. All comparisons below are true.

Jia is taller than Pia.
Jia is taller than Wren.
Pia is taller than Faye.
Faye is taller than Gus.

Which sculpture is tallest?

1. Faye
2. Pia
3. Jia
4. Wren
5. Gus",7bf91ae1b7ab7f4426881db93ac225d6611ac829941b0405d68308903d73204f
J001832,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","A robot named Omar starts at a marked point facing north. A turn changes only its facing direction. Moving forward or backward moves it one block without changing its facing direction. The ground is an unobstructed square grid. Follow the numbered commands in numerical order.

Command 1: Move backward one block.
Command 2: Turn a quarter-turn to the right.",Where is the robot relative to its starting point?,At the starting point,Directly west of the starting point,Directly east of the starting point,Directly north of the starting point,Directly south of the starting point,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

A robot named Omar starts at a marked point facing north. A turn changes only its facing direction. Moving forward or backward moves it one block without changing its facing direction. The ground is an unobstructed square grid. Follow the numbered commands in numerical order.

Command 1: Move backward one block.
Command 2: Turn a quarter-turn to the right.

Where is the robot relative to its starting point?

1. At the starting point
2. Directly west of the starting point
3. Directly east of the starting point
4. Directly north of the starting point
5. Directly south of the starting point",6ef32fe99f9669a502419c15c94cb3349d00aa473e4693a2dba721d761effd10
J001491,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","The five boxes are Cedar, Oak, Pine, Dune and Willow. Each contains one token. Initially, Cedar contains the white token; Oak contains the black token; Pine contains the red token; Dune contains the blue token; Willow contains the green token. Carry out the numbered steps in numerical order, regardless of the order in which the step descriptions are printed.

Step 1: Swap the entire contents of the Dune and Willow boxes.
Step 2: Swap the entire contents of the Cedar and Willow boxes.
Step 3: Swap the entire contents of the Cedar and Willow boxes.
Step 4: Swap the entire contents of the Pine and Cedar boxes.",Which box contains the red token after all the steps?,Oak box,Willow box,Cedar box,Pine box,Dune box,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

The five boxes are Cedar, Oak, Pine, Dune and Willow. Each contains one token. Initially, Cedar contains the white token; Oak contains the black token; Pine contains the red token; Dune contains the blue token; Willow contains the green token. Carry out the numbered steps in numerical order, regardless of the order in which the step descriptions are printed.

Step 1: Swap the entire contents of the Dune and Willow boxes.
Step 2: Swap the entire contents of the Cedar and Willow boxes.
Step 3: Swap the entire contents of the Cedar and Willow boxes.
Step 4: Swap the entire contents of the Pine and Cedar boxes.

Which box contains the red token after all the steps?

1. Oak box
2. Willow box
3. Cedar box
4. Pine box
5. Dune box",ab902ceda9645c7f86b27bb3410d9e914cd05853032655740388b2f09f5af7f7
J001584,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","Five name cards start in this left-to-right order: Zane, Pia, Tess, Faye, Noel. Carry out the numbered steps in numerical order. Positions always refer to the current order, not the initial order.

Step 1: Swap the second and fourth cards; leave the others in place.
Step 2: Move the first card to the last position, keeping the order of the others.",Which name is in the fifth position at the end?,Tess,Pia,Zane,Faye,Noel,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

Five name cards start in this left-to-right order: Zane, Pia, Tess, Faye, Noel. Carry out the numbered steps in numerical order. Positions always refer to the current order, not the initial order.

Step 1: Swap the second and fourth cards; leave the others in place.
Step 2: Move the first card to the last position, keeping the order of the others.

Which name is in the fifth position at the end?

1. Tess
2. Pia
3. Zane
4. Faye
5. Noel",dc5e5719e7896ccadc77f0259fb2275d7628e8abd2c236517db940609ff03dc8
J001429,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.","Quin, Yara and Hana each use exactly one locker. The lockers are named Oak, Spruce and Juniper. Each locker is used by exactly one person. Assess the clues as written, including the possibility that they conflict or leave more than one answer.

Clue 1: Yara uses either the Oak locker or the Spruce locker.
Clue 2: Hana does not use the Juniper locker.
Clue 3: Yara does not use the Spruce locker.
Clue 4: Quin uses the Oak locker.
Clue 5: Hana uses either the Oak locker or the Spruce locker.",Which answer correctly describes Quin's locker assignment?,More than one locker remains possible,Only the Spruce locker,Only the Oak locker,No assignment satisfies all the clues,Only the Juniper locker,"Use only the information in this problem. Apply its stated rules exactly. Choose exactly one of the five numbered options. Choose a final answer, not an explanation. Do not assume an unstated fact.

Quin, Yara and Hana each use exactly one locker. The lockers are named Oak, Spruce and Juniper. Each locker is used by exactly one person. Assess the clues as written, including the possibility that they conflict or leave more than one answer.

Clue 1: Yara uses either the Oak locker or the Spruce locker.
Clue 2: Hana does not use the Juniper locker.
Clue 3: Yara does not use the Spruce locker.
Clue 4: Quin uses the Oak locker.
Clue 5: Hana uses either the Oak locker or the Spruce locker.

Which answer correctly describes Quin's locker assignment?

1. More than one locker remains possible
2. Only the Spruce locker
3. Only the Oak locker
4. No assignment satisfies all the clues
5. Only the Juniper locker",9d483c42bba0b4f9722e4ff08906314157d82481ee920d4705354dd8b74ddd1e
